,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
0,468,,,0.3991,0.416621429,0.354766667,0.41928,0.251046667,0.285466667
1,114,,,,,0.440386667,0.517966667,0.483893333,
2,39,,,0.2465,0.0316,0.351028571,0.436378571,0.42087619,0.3684
3,92,,,0.33412,0.419861111,0.452833333,,,
4,357,,0.1607,0.258608889,0.304446667,,,0.3219,
5,422,,0.196,,0.33204,0.444,0.508147619,0.322,0.798233333
6,75,,0.309,0.51111,0.36263,0.404016667,0.52377619,0.264366667,
7,356,,0.3313,0.32121,0.375522222,0.540766667,0.483413333,0.41595,0.3945
8,142,,,0.5825,,0.315966667,,0.0398,0.5554
9,262,,0.3471,0.5322,0.403273333,0.425347619,0.567966667,,
10,303,,,0.248704762,0.244989286,0.6289,,0.64805,0.5162
11,560,,,0.4698,,0.1816,,0.39608,0.364
12,503,,,0.278133333,0.274155556,0.495661111,0.41867619,0.314890476,0.420633333
13,255,,,,,0.5128,0.6946,0.617366667,
14,175,,,0.52676,0.452561905,0.526214286,0.387160714,0.53803,0.562144444
15,140,,,0.487433333,0.5987,0.61863,0.553133333,,0.45169
16,380,,,,0.3705,0.47836,,0.5191,0.525
17,321,,,0.263133333,0.298993333,0.7077,0.258966667,,
18,81,,0.30522,0.19866,0.405766667,0.2872,0.377033333,0.495004762,
19,224,,,0.521746429,0.5401,0.33039,0.47154,0.39747,
20,432,,,,0.431310714,0.351,0.462033333,0.543166667,0.744566667
21,215,,0.613539286,0.515353571,0.639332143,0.8247,,,
22,122,,0.412266667,0.378286667,0.28638,,,,0.41124
23,258,,,0.3967,0.33855,0.485906667,0.48982,0.414633333,0.538816667
24,32,,,0.33757,0.160026667,0.30051,0.35896,0.476483333,0.526846667
25,451,,,,0.345102222,0.341213889,0.294785714,0.0158,
26,200,,,0.300526667,0.508933333,0.503,0.521053333,0.427766667,
27,204,,,0.1222,0.232871429,0.318233333,0.436133333,0.0187,
28,496,,0.504966667,0.334413889,0.412239286,0.38136,0.3702,,
29,351,,,0.510966667,0.40372381,0.39845,0.168266667,0.61483,0.3468
30,549,,0.2378,0.285963889,0.32469,0.2794,0.0158,,0.568766667
31,209,,0.2397,,,,0.0516,0.35029,0.266633333
32,554,,,0.390675,0.296404762,0.23735,0.326033333,0.375889286,0.63866
33,184,,,,0.394204762,0.355866667,0.6126,0.549816667,0.503306667
34,69,,,0.5073,0.282897778,0.344419444,0.47462381,,
35,13,,,0.5445,0.392066667,0.7065,,,
36,404,,0.1427,0.397455556,0.652971429,0.62565,0.47605,0.126566667,0.0534
37,446,,,,0.468775,0.477735556,0.544272222,,
38,561,,,,0.2648,0.26897,0.3415,0.637366667,0.377433333
39,304,,0.23432381,0.433228889,0.253324444,0.358516667,,,
40,1,,,,,0.3789,0.554516667,,
41,487,,,,,0.4275,0.348966667,,
42,73,,,0.30218,0.220983333,0.39687,,,
43,133,,,0.425214286,0.50785,0.527916667,0.450966667,0.56355,
