,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
0,75,,,,,,,0.34402666666666665,0.2983800000000001,0.250625,0.2572047619047619,0.2327611111111111,0.43499599999999994,0.350295,0.40258,0.31298333333333334,0.3250100000000001,0.3393742857142857,0.28187,0.4538285714285714,0.3139958333333333,0.36173809523809525,,,,,,,
1,104,,,,,,,,,,,,0.45077999999999996,0.3722916666666667,0.31615625,0.18189999999999998,0.33767,0.34167000000000003,0.20908500000000002,0.314875,0.2222666666666667,0.3081375,,,0.3472675,0.33906400000000014,0.3358116666666667,0.39948,0.26396000000000003
2,278,,,,,,,,,,,,0.3568055555555556,0.36083055555555554,0.27468000000000004,,0.38457901234567904,0.2835244444444444,,0.34559555555555554,,,,,,,,,
3,419,,,,,,,,0.4273,0.2476,0.27043333333333336,,,,,,0.481,0.40276666666666666,,0.31303333333333333,,,,0.19278,,0.35884,0.28032,0.3986533333333334,
4,66,0.14661304347826087,0.14661304347826087,0.15198636363636361,0.07884999999999999,0.040925,,0.39412222222222215,0.1880375,0.21703,0.27126249999999996,,0.26059861111111116,0.23297888888888887,0.2778805555555556,,0.2858025,0.28919375,,0.40187000000000006,,,,,,,,,
5,418,,,,,,,,,,,,0.4250333333333333,0.3177083333333333,0.2958,0.302775,0.4066444444444444,0.37683333333333335,0.31526666666666664,0.3594666666666666,0.3683,0.60085,,,,,,,
6,463,,,,,,,0.23115000000000002,0.1616,0.16310000000000002,0.0764,0.1956,0.5067,0.480475,0.3743875,0.56375,0.4294,0.339975,0.5329,0.3787625,0.5318499999999999,0.516325,,,,,,,
7,435,,,,,,,0.44470000000000004,0.4443400000000001,0.2862,0.27681666666666666,0.28354444444444443,0.37086,0.17746666666666666,0.16005,0.18876666666666667,0.2930066666666667,0.23257,0.22608666666666666,0.28808333333333336,0.3256666666666666,0.3466833333333333,,0.31168333333333337,0.169425,0.24924999999999997,0.33175000000000004,0.3243500000000001,0.3900166666666666
8,207,,,,,,,0.35030000000000006,0.41736666666666666,0.26465,0.2021,,0.37945333333333336,0.31388999999999995,0.26416,,0.3680666666666667,0.34473333333333334,,0.3173,,,,0.0727,0.18805000000000002,0.18835000000000002,0.23472500000000002,0.24415,
9,280,,,,,,,0.2912833333333333,0.36442,0.2445,0.39288,0.18095,0.42447,0.30230833333333335,0.16799666666666666,0.30165,0.30313500000000004,0.22556,0.32828,0.211815,0.37197499999999994,0.18812,,,,,,,
10,141,,,,,,,0.31379999999999997,0.33318888888888887,0.2777428571428571,0.258375,0.15905000000000002,0.3105541666666667,0.3063285714285714,0.2186515625,0.25282499999999997,0.3400888888888889,0.2944472222222222,0.26183055555555557,0.3477053571428571,0.31505,0.439115625,,,,,,,
11,315,,,,,,,0.3435375,0.2437277777777778,0.27963333333333334,0.26039999999999996,0.22475,0.27552499999999996,0.34580833333333333,0.34435000000000004,0.28269500000000003,0.22259999999999996,0.2747,0.24164,0.3485833333333333,0.23724666666666666,0.37857,,0.18736666666666668,0.23603333333333334,0.18796666666666667,0.20967777777777777,0.4029833333333333,0.48330000000000006
12,563,,,,,,,0.51445,0.3251428571428572,0.38,0.3051714285714286,0.31584285714285715,0.34661785714285714,0.3807071428571428,0.31047142857142856,0.2852392857142857,0.3249836734693878,0.2778714285714286,0.2548693877551021,0.41129591836734697,0.3745020408163266,0.4150224489795918,,,,,,,
13,151,,,,,,,,,,,,0.40717857142857145,0.27235,0.3187875,,0.28977142857142857,0.3754714285714286,,0.345425,,,,,,,,,
14,389,,,,,,,,,,,,0.396346875,0.40501666666666664,0.34614999999999996,0.2704607142857143,0.36103749999999996,0.31389374999999997,0.260225,0.4616395833333333,0.36345952380952384,0.3988964285714286,,,,,,,
15,233,,,,,,,0.3342083333333334,0.31757,0.2795888888888889,0.21150555555555553,0.17927083333333335,0.420675,0.24508333333333332,0.15205833333333332,0.26451874999999997,0.25394,0.19618,0.31806999999999996,0.2745666666666666,0.15985833333333335,0.24026666666666666,,0.26325,0.276925,0.32262,0.16069999999999998,0.1965,0.5071
16,191,,,,,,,,,,,,0.2744933333333333,0.27448571428571433,0.21583333333333332,0.22983333333333333,0.2901714285714286,0.28842666666666666,0.26524,0.28445238095238096,0.3479285714285715,0.41373333333333334,,,,,,,
17,235,,,,,,,,,,,,0.3740046875,0.29503,0.2622359375,0.312753125,0.287495,0.25045625000000005,0.30055937499999996,0.349165,0.42338000000000003,0.382715625,,,0.1761,0.23765,0.292956,0.24476000000000003,0.35428999999999994
18,179,,,,,,,,,,,,,,,,0.33325,,0.25084999999999996,,0.2441,,,,,0.29109999999999997,0.2959,,0.49675
19,209,,,,,,,0.2618,,,0.11349999999999999,0.16513,,,0.2343,0.20238,,,,,,0.2823,,0.05484999999999999,0.10743333333333334,,,0.29975,0.22571333333333335
20,11,,,,,,,,,,,,,,,,0.3511079365079365,0.29211666666666664,,0.23812857142857144,,,,,,,,,
21,269,,,,,,,0.25308928571428574,0.301325,,,,0.2781035714285714,,,,,,,,,,,,,,,,
22,171,,,,,,,0.3786,0.20234999999999997,0.10875,0.1960625,0.2147,0.441725,0.247375,0.33501250000000005,0.24912499999999999,0.33207499999999995,0.38940625,0.37295,0.41704375,0.33342499999999997,0.4597625,,,,,,,
23,454,,,,,,,0.5649375000000001,0.36263571428571434,0.3758388888888889,0.2803875,0.22630833333333333,0.40986428571428574,0.45634444444444455,0.35639375,0.32283333333333336,0.3815571428571428,0.3162625,0.3047642857142857,0.4019361111111111,0.39392777777777793,0.41779166666666673,,0.32886000000000004,0.3725900000000001,0.32054,0.39165333333333335,0.430975,0.4591233333333334
24,348,,,,,,,0.2004725,0.17941250000000003,0.191245,,0.25376,0.34654062500000005,0.391771875,,0.4065375,0.3877,,0.378325,,0.49535000000000007,,,0.19139,0.3156875,0.2902125,0.39246250000000005,,0.68485
25,202,,,,,,,,,,,,,,,,0.4091642857142857,0.39422916666666663,0.37162999999999996,0.45685714285714274,0.4454142857142857,0.5646875,,,,,,,
26,317,,,,,,,,,,,,0.2812535714285714,0.23940612244897963,0.23035714285714287,,0.3166607142857143,0.2068375,,0.22213809523809522,,,,,,,,,
27,455,,,,,,,,,,,,0.45602,0.41254500000000005,0.3122066666666667,0.35775999999999997,0.50651875,0.4442000000000001,0.3679,0.34640000000000004,0.35675000000000007,0.4096666666666667,,,,,,,
28,204,,,,,,,,,,,,0.33037142857142854,0.33488333333333326,0.29511666666666664,0.27465,0.2662785714285715,0.19574285714285714,0.24314285714285716,0.3271,0.23802500000000001,0.2094666666666667,,,0.26055,0.18091428571428572,0.32676666666666665,0.4761333333333333,0.18395
29,34,,,,,,,0.49905,0.24292222222222223,0.34920000000000007,0.2656,0.2558833333333333,0.29344629629629626,0.3448541666666667,0.30192083333333336,0.27036111111111116,0.24801111111111102,0.24701388888888895,0.2049685185185185,0.314525,0.32195833333333335,0.28487083333333335,,0.0361,0.19133333333333333,0.23297777777777778,0.17372500000000002,0.289675,0.23723333333333338
30,178,,,,,,,,,,,,0.3511999999999999,0.30369999999999997,0.28646666666666665,0.25721333333333335,0.3418666666666666,0.3308333333333333,0.276584,0.4711000000000001,0.40849333333333326,0.50526,,,,,,,
31,358,0.1795,0.1795,0.1795,0.1795,0.1795,0.1795,0.27731666666666666,0.33026666666666665,0.38165,0.2025666666666667,0.23276666666666668,0.404525,0.35655,0.3109,0.2291,0.531075,0.44265,0.41650000000000004,0.48895000000000005,0.424225,0.45075000000000004,0.23395,0.2628333333333333,0.226225,0.3262,0.39139999999999997,0.3221,0.45494999999999997
32,320,,,,,,,,,,,,0.3994964285714286,0.410821875,0.3891166666666666,,0.49644464285714285,0.4480952380952381,,0.6313375,,,,,,,,,
33,185,,,,,,,,,,,,0.15885,0.05993999999999999,0.07678333333333333,0.056266666666666666,0.33032,0.30090416666666664,0.33955833333333335,0.28779,0.3517666666666666,0.29789444444444446,,,,,,,
34,216,,,,,,,,,,,,0.3369357142857143,0.304875,0.18855,0.21040285714285714,0.28521875,0.21532500000000002,0.21309500000000003,0.23161874999999998,0.247885,0.27686,,,,,,,
