,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
0,142,,,0.6928,,0.679766667,,0.8116,0.6439
1,190,,0.6494,0.464293333,0.643995556,0.56412,0.645571429,0.649164286,
2,271,,,0.479807143,0.4994,0.620766667,,0.231466667,
3,257,,,0.59426,0.26828,0.463953333,0.6002,0.490633333,0.567196429
4,234,,,,0.67923,0.601513333,0.5525,0.614733333,0.497066667
5,301,,0.523316667,0.543109524,0.600295238,,,,
6,521,,,0.6327,0.55642,0.501166667,,,
7,10,,,0.6913,0.555314286,0.55052,,0.603766667,
8,58,,0.4842,0.53528,0.596486667,,,,
9,517,,,0.631,0.61524,0.58765,0.641493333,0.596433333,
10,327,,,,0.632266667,0.5587,,0.5338,0.4128
11,507,,,0.49163,0.669019444,0.636866667,0.493266667,0.68352,
12,246,,,0.53424,0.5389,0.524066667,0.53381,0.62034,0.5438
13,255,,,,,0.7021,0.8068,0.715233333,
14,261,,,0.566833333,0.537321429,0.575911111,0.689825,,
15,212,,0.46985,0.5717,0.48866,0.40365,0.2333,,0.6694
16,12,,,0.6153,0.461833333,,,0.5518,0.221133333
17,318,,,0.699764444,0.606827778,0.693405556,0.80224,,
18,453,,,0.6187,0.550485714,0.464990476,0.57159,0.590183333,0.651886667
19,286,,,,,0.5721,0.679406667,0.674969444,
20,427,,0.7419,0.469033333,0.48655,0.39508,0.575926667,0.480173333,
21,360,,0.507366667,0.600266667,0.64012381,,,,0.7019
22,181,,,0.54514,0.550391111,0.455996429,0.70202,,
23,192,,,0.581961905,0.750753333,0.680068889,0.598906667,0.65282,0.6262
24,20,,,,0.4831,0.449783333,0.50915,0.434333333,0.512033333
25,330,,,,,0.65228,0.7084,0.737883333,
26,6,,0.3016,,0.598714286,0.5708,,,
27,95,,,,0.57107619,0.64555,0.598468889,0.658453571,0.68305
28,311,,,,0.653726667,0.6785,0.6376,0.650683333,0.7302
29,379,,,,0.654166667,0.5783,0.4552,0.71,
30,29,,,0.24449,0.566033333,0.556633333,0.532516667,0.52678,0.582633333
31,101,,,,0.434933333,0.2985,,,
32,131,,,0.628466667,0.6577,0.766295238,0.805486111,0.7852,
33,533,,,0.587719444,0.65221,0.625,0.631553333,0.736786667,0.74195
34,357,,0.4579,0.484228889,0.426693333,,,0.554926667,
35,64,,,0.540704762,0.545673333,0.6516,0.730566667,,
36,70,,,,0.603235714,0.577566667,0.6281,0.6258,0.4972
37,78,,,0.6487,0.6272,0.720866667,0.6617,0.6669,0.6669
38,284,,,0.5944,0.65415,0.59116,0.572583333,0.601342857,0.616585714
39,291,,,0.7104,0.6391,0.59804,,0.514783333,
40,119,,,,,0.5173,0.345,,
41,226,,,0.1221,0.439557143,0.601336111,0.550885714,,
42,408,,,,0.486689286,0.523571429,0.543852381,0.558475,0.6382
43,168,,,,0.4096,0.558966667,0.5997,0.486466667,0.3839
44,495,,,,0.611533333,0.64553,0.72196,0.5888,
45,108,,,,0.522453571,0.3093,0.521,0.55859,0.614566667
46,411,,,0.627386667,0.508035556,,,,
47,548,,,0.523866667,0.595833333,0.558622222,0.4672,0.6898,0.590453333
48,148,,0.5695,0.4597,0.565995238,0.4917,0.659333333,0.57215,0.711667857
49,449,,,0.45287619,0.543266667,0.5743,0.62922,0.59663,0.679326667
50,481,,,0.4191,0.57045,0.602,0.559,0.4391,0.526397778
51,165,,,0.6057,0.659193333,0.690266667,0.576233333,0.7048,0.7159
52,321,,,0.4627,0.47954,0.72595,0.656666667,,
53,469,,,0.707,0.439138889,0.556135714,0.657115556,0.5421,
54,462,,,0.6586,0.6081,0.627441667,0.665877778,0.64587,0.590173333
55,345,,,,0.634219048,0.630342222,0.696278571,0.649053333,
56,512,,,0.467416667,0.3515,0.464716667,0.711253333,0.805716667,
57,2,,,0.0393,,0.494533333,0.7248,0.632133333,0.6908
58,366,,,0.4423,0.527366667,,,,
59,235,,,0.579742857,0.585728571,0.58253,0.574492857,0.583433333,0.63145
60,443,,,,0.622161905,0.590673333,0.67498,0.647,
61,343,,0.2746,0.563495238,0.547135714,0.583285714,0.55325,0.52715,
62,466,,,,0.663778571,0.62064,0.676113333,0.64385,
63,245,,0.5082,0.558457143,0.438047222,0.599193333,0.608746667,0.558483333,
64,438,,,0.641016667,0.556861111,0.654283333,0.735793333,,
65,430,,,,,,0.7486,0.596666667,0.711716667
66,260,,0.5137,0.54718,0.59515,0.518583333,0.645525,,
67,41,,,0.588053333,0.57972381,0.534182143,0.655552778,0.5782,
68,0,,,,,,0.666811111,0.683132143,0.725154286
69,33,,0.5565,0.529216667,0.623153571,0.539357143,0.6376,0.1325,
70,144,,0.5729,0.61,0.6497,0.3687,,,0.8575
71,136,,,0.58342,0.612907143,0.569906667,0.54415,0.726653571,0.644457143
72,253,,,0.60656,0.568078571,0.564797778,0.607033333,,
73,406,,,,0.71385,,,,0.717513889
74,210,,,,0.65375,0.644542857,0.68008,0.555325,
75,240,,,0.7764,0.657096429,0.688446667,0.5679,0.707,0.602971429
76,384,,,,0.697466667,,0.6959,0.6467,0.629433333
77,92,,,0.48825,0.491019444,0.542964444,,,
78,63,,,,0.58564,0.600326667,0.6208,0.573066667,0.579197778
79,556,,,0.602216667,0.583216667,0.674157143,0.783666667,,
80,157,,,0.483814286,0.567469444,0.52761,,,
81,440,,0.404766667,0.6495,,0.6585,0.4994,0.556333333,0.555866667
82,491,,,0.46416,0.614533333,0.562183333,0.565833333,,0.3782
83,178,,,0.472233333,0.60128,0.525466667,0.673333333,0.65453,
84,479,,,,0.615666667,0.553255556,0.61006,0.518966667,0.62042
85,189,,,0.585316667,0.595833333,0.619193333,0.54148,0.54867,
86,275,,0.492166667,0.51832,0.205866667,,,,
87,188,,,0.63295,0.548580556,0.575957143,0.551552381,0.572066667,
88,294,,,,0.631461905,0.654133333,0.63455,0.639047619,0.65168
89,501,,0.5032,,0.582,0.58026,0.6079,0.585733333,
90,391,,,,0.50128,0.651531111,0.540322222,0.489866667,0.494013333
91,468,,,0.518873333,0.608510714,0.527388889,0.57867,0.51558,0.360566667
92,159,,,0.66724,0.68052,0.685733333,,0.7699,0.684121429
93,297,,,,,0.5181,,0.7924,
94,9,,,0.652296429,0.6098,0.795061905,0.72604,,
95,350,,,,0.678214286,0.600633333,0.576,,
96,370,,0.436183333,0.655528571,0.62934,0.566833333,0.535433333,,
97,186,,,,,,,0.643633333,0.6831
98,109,,,0.334,0.449066667,0.600533333,0.623530556,,
99,452,,,0.615433333,0.6604,0.55898,,,
100,224,,,0.612967857,0.520333333,0.60933,0.64598,0.67761,
101,354,,,0.456271429,0.649595238,0.58675,0.6419,0.62885,0.667683333
102,280,,0.6941,0.54686,0.62129,0.546833333,0.60719,,
103,31,,,,0.477321429,0.616133333,0.69447,,
104,485,,,,,0.679585714,0.629504762,0.639002778,
105,497,,,0.599275,0.60187,0.63182,0.703866667,0.7148,
106,340,,,0.7153,0.634819444,0.642214286,0.548433333,,
107,248,,,0.646133333,0.668713333,0.660516667,0.643366667,0.294266667,0.737082143
108,242,,,0.570166667,0.660692857,0.626514286,0.765689286,0.688366667,
109,60,,,0.580416667,0.6333,0.603586667,0.687919048,0.704133333,
110,71,,,0.54446,0.582809524,0.5461,0.62628,0.475964286,0.575093333
111,198,,,,0.57124,0.66638,0.5629,0.8041,
112,520,,0.655533333,0.675133333,0.55445,0.6403,0.458116667,0.5414,0.67524
113,316,,,0.5232,0.4116,0.60637,0.5519,0.696966667,
114,563,,,0.648866667,0.600219048,0.619690476,0.52977619,0.599895238,
115,216,,,0.63967619,0.623233333,0.4848,0.5441,0.66964,
116,531,,,0.64971,0.614717857,0.664897222,0.665146429,,
117,361,,,0.465666667,0.5528,0.5294,,,
118,467,,0.4933,0.67255,0.568880556,0.545926667,0.58016,,
119,380,,,,0.5472,0.61048,,0.5627,0.6211
120,113,,,,0.64605,0.634685714,0.591957143,0.6782,
121,121,,,0.613793333,0.57885,0.568066667,0.6049,0.5421,0.6051
122,161,,,0.3602,0.306,,0.59375,,0.4858
123,425,,0.591033333,0.56996,0.659083333,,,0.659233333,
124,414,,0.4853,0.551275,0.59863,0.57563,0.57159,0.7536,
125,376,,,,0.644161905,0.56986,0.560342857,0.6561,0.67476
126,278,,,0.473016667,0.597416667,0.635641667,0.55739,,
127,151,,,0.550083333,0.585333333,0.5494,0.702,,
128,285,,,0.678442857,0.657373333,0.72714,0.6337,,
129,267,,,0.7075,0.572442857,,,,0.63198
130,394,,,,0.653493333,0.691002222,0.68102,0.5805,0.71639011
131,527,,,0.658383333,0.596606667,0.549238095,0.745222222,0.683864286,
132,83,,,0.5367,0.543519048,0.52262,0.594866667,0.497219048,0.3662
133,293,,,,0.578457143,0.59139,0.558842857,0.746575,0.847026667
134,388,,,0.72155,0.668803571,0.55318,0.638183333,0.257333333,
135,442,,0.539766667,0.60971,0.566833333,0.719711111,0.801083333,,
136,97,,,0.3249,,0.5751,0.7219,,0.58655
137,552,,,,0.58019,,0.6008,0.7982,
138,489,,,,0.65245,0.536666667,0.491,0.522666667,0.56105
139,77,,,0.3871,0.359,,,,0.538933333
140,146,,,,0.59499,0.560633333,0.5986,0.545332143,0.666042857
141,199,,0.2525,0.574664286,0.36022,0.477333333,0.6191,0.613533333,0.530233333
142,152,,0.6654,,0.409566667,0.69169,,,
143,412,,,,,0.3535,0.465233333,0.64005,0.4312
144,264,,0.52496,0.60622,0.621416667,0.5551,,,
145,158,,,,,0.5078,0.489166667,0.5394,0.65619
146,475,,,,0.479766667,0.341483333,0.544,,0.661544444
147,171,,,0.5456,0.4891,0.6377,0.662117857,0.5228,
148,346,,,0.577233333,0.676621429,0.531,0.51845,0.386233333,0.726366667
149,463,,,0.7211,,0.5673,0.6453,,
150,493,,0.463233333,0.5427,,0.5029,0.4863,0.673133333,0.7217
151,38,,,0.559333333,0.522595556,0.581038095,0.545762222,,
152,209,,0.4005,,,,0.5172,0.5462,0.459933333
153,68,,,,0.4447,0.620382222,0.697426667,0.593769444,0.7737
154,102,,,,0.60621,0.538626667,0.54927,0.705966667,0.637166667
155,27,,0.363433333,0.4355,0.506316667,0.48672,0.582411111,0.6789,
156,509,,,0.564116667,0.590060714,0.52158,,,
157,348,,0.34893,0.598896429,0.564457143,0.6307,,,0.7071
158,488,,,0.3862,0.5502,0.628828571,0.560555556,0.700767857,0.5898
159,143,,,,0.4657,0.57461,0.523952381,0.717733333,0.5777
160,222,,,,0.551333333,0.568185714,0.500866667,,
161,269,,0.5563,0.496738095,0.584966667,,,,
162,546,,0.617466667,0.565933333,0.4615,0.600783333,,,
163,126,,,,0.542241667,0.7139,0.60797619,0.596625,0.68221
164,455,,,0.69659,0.6403,0.570766667,0.516,,
165,98,,,,0.497090476,0.6392,0.505919048,0.524280952,0.68398
166,150,,0.5575,0.632644444,0.612044444,0.6247,,,
167,339,,,,0.667966667,,,0.580366667,0.608619048
168,378,,,0.5426,0.516,0.433047222,0.331083333,0.615166667,
169,510,,,0.649,0.56918,0.618195238,0.61373,0.703014286,0.746110714
170,317,,,0.540347619,0.518196429,0.522085714,0.605533333,,
171,362,,,0.583386667,0.604867857,0.463571429,0.51491,0.743083333,
172,561,,,,0.5116,0.62535,0.648633333,0.811133333,0.710633333
173,205,,,,0.569166667,,,,
174,299,,0.6056,0.463083333,0.54682,0.54606,,,
175,239,,,,0.614230556,0.645580556,0.7649,0.58311,0.6374
176,302,,,0.650333333,0.54582,0.371083333,0.673166667,0.554916667,0.656393333
177,134,,0.647833333,0.503080952,0.541328571,0.56149,0.6273,0.596366667,0.412433333
178,319,,,0.600283333,0.604271429,0.53885,0.640885714,,
179,545,,0.5632,0.571095238,0.59524,,,,
180,494,,,0.59046,0.600546667,0.575666667,0.5733,0.63383,0.673073333
181,396,,,,0.477666667,0.4353,,0.6115,0.649728571
182,315,,0.131,0.562083333,0.492366667,0.2589,0.5182,0.59434,0.7413
183,174,,,,0.5187,,0.7831,,0.638066667
184,256,,,0.60619,0.632660714,0.688166667,0.597126667,0.572666667,0.629533333
185,310,,,0.585268889,0.559316667,0.63154,0.393666667,0.509632143,0.628733333
186,74,,,,,0.6865,0.715733333,,
187,312,,,0.592947619,0.618328571,0.612113333,0.6872,0.620633333,0.553166667
188,105,,,0.450926667,0.543689286,0.406096429,0.53745,0.544406667,
189,342,,,0.6584,0.420313333,0.66631,0.60625,0.6092,
190,308,,0.31235,0.544833333,0.6669,0.682913333,0.5654,0.623316667,0.66489697
191,367,,,0.5684,0.404461905,0.56775,0.540738095,0.710239286,0.8311
192,5,,,0.6411,0.556452381,0.591404762,0.5725,,0.657675
193,541,,,,0.467475556,0.536086111,0.512671429,0.54618,
194,16,,,0.341833333,0.498366667,,,,
195,565,,,0.6073,0.557766667,0.590471429,0.503616667,0.6453,0.490730769
196,80,,0.019,0.629275,0.573315556,0.2092,0.560066667,0.697122222,
197,426,,,0.49275,0.0791,0.4522,0.610333333,0.373633333,0.583
198,547,,,0.63802,0.588175,0.61202,,0.5235,
199,423,,,0.6104,0.64795,0.49339,0.631913333,,
200,436,,,,0.5522,0.534769444,,,
201,277,,0.535885714,0.610552381,0.647307143,0.736213333,,,
202,88,,,,,0.523797222,0.65408,0.6049,0.5879
203,431,,,0.5627,0.657453333,0.693014286,0.645909524,0.67695,0.749266667
204,233,,0.531766667,0.658816667,0.69758,0.490766667,0.606733333,0.635933333,
205,182,,,0.542816667,0.65935,0.59462,0.609086667,0.577214286,0.701356364
206,377,,0.5199,0.5693,0.621196429,0.53967619,0.72021,,
207,381,,,,,,,0.676333333,
208,516,,,0.232566667,0.568757143,0.553130556,0.5402,0.642857143,
209,534,,,0.57233,0.574313333,0.576539286,0.60372381,0.786333333,
210,441,,,0.2332,0.643361111,0.626057143,0.59078,0.64562,0.61659
211,67,,,,0.479383333,0.465775556,0.524552381,0.46196,0.591938095
212,218,,,0.589733333,0.499086667,0.510828571,0.523928571,0.512921429,0.583177273
213,140,,,0.559166667,0.6748,0.6815,0.662833333,,0.68947
214,138,,,0.50734,0.559128571,0.608819444,0.422947619,0.5716,0.622473333
215,203,,0.4857,0.458313889,,0.507566667,,,
216,417,,0.56679,0.541216667,0.557362222,0.418139286,0.650441667,,
217,539,,,,0.3532,0.4052,,0.2379,0.4594
218,429,,,0.5772,0.52186,0.681742857,0.597103571,0.30725,0.667916667
219,56,,,0.45305,0.46916,0.5868,0.679113333,0.75834,0.735381319
220,89,,0.59411,0.572275,0.539572222,0.601027778,,,
221,407,,,0.625333333,0.6635,0.661766667,0.6676,,0.6098
222,549,,0.4695,0.529922222,0.40904,0.5204,0.3309,,0.733733333
223,282,,,,0.6347,0.64948,0.64142,0.654660714,0.649033333
224,344,,,0.555683333,0.567966667,0.574626667,0.60139,0.793,
225,353,,,0.60225,0.687738095,0.590716667,0.614630556,0.5067,0.656233333
226,176,,0.5203,0.34887,0.3038,,,,
227,51,,0.4706,0.442778571,0.507828571,0.414366667,0.4326,0.5192,0.5495
228,525,,,,0.595219048,0.662286111,0.520488889,0.616933333,
229,306,,,0.531425,0.395246667,0.632433333,0.681495238,,
230,249,,,0.539255556,0.59245,0.64859,0.627424444,,
231,369,,,0.497017778,0.3832,0.4478,0.36617,,
232,39,,,0.5735,0.1581,0.597010714,0.569528571,0.583533333,0.6196
233,480,,,0.57655,0.536819444,0.556983333,0.605033333,0.634466667,
234,111,,,,0.656678571,0.609084444,0.629439286,0.56402,0.587326667
235,496,,0.655066667,0.525788889,0.544985714,0.544606667,0.5075,,
236,73,,,0.481526667,0.372683333,0.62959,,,
237,244,0.2436,0.335795238,0.40221,0.5713,0.6013,0.585486667,0.63344,
238,241,,,0.576183333,0.50476,0.6907,0.7288,0.591066667,
239,337,,,,0.3835,0.5037,0.597233333,0.6654,
240,437,,0.0989,0.4091,0.392233333,0.61238,0.66721,0.659506667,0.7443
241,130,,,0.55088,0.635571111,0.605833333,0.682547619,0.60735,
242,183,,,,0.35695,0.65077,0.64957,,0.637686667
243,505,0.2364,,0.2229,0.5603,0.570833333,,0.605883333,
244,18,,,0.610794444,0.552172222,0.469516667,0.614566667,,
245,36,,,0.5041,0.587016667,0.59872,0.697733333,0.679086667,
246,137,,,0.6848,0.632952778,0.668808333,0.664014286,0.652866667,
247,133,,,0.61265,0.59648,0.643016667,0.5775,0.6013,
248,514,,,0.640997222,0.598106667,0.59796,,,
249,504,,,0.514933333,0.497538095,0.582714286,0.564571429,0.565822222,0.7096
250,456,,,0.60625,0.517452381,0.5445,0.62157,0.672866667,0.7141
251,359,,,0.9857,,0.646033333,0.60475,,0.645209524
252,115,,,0.558033333,0.552119048,0.525816667,0.548947619,0.738819048,0.6936
253,118,,,0.5439,0.578353333,0.66697,,,0.726183333
254,474,,,,0.649707143,0.635404762,0.778175,0.69729,
255,57,,0.50924,0.522152381,0.606052381,0.300666667,0.592933333,,
256,389,,,0.557346429,0.596866667,0.559393333,0.654932143,0.537166667,
257,392,,0.64528,0.645852381,0.539633333,0.541153333,0.6514,0.7038,0.595560256
258,409,,,0.595793333,0.726861905,0.697082143,0.783897778,,
259,87,,,0.457,0.6449,0.5331,0.5821,,0.6299
260,530,,,0.41748,0.290835556,0.4645,0.2357,0.2,0.551146429
261,26,,,0.535588889,0.544678571,0.501666667,0.6363,0.542383333,0.680333333
262,347,,,0.579953333,0.540704762,0.5461,0.624857143,0.580566667,
263,355,,,0.526433333,,,0.6141,0.252833333,0.61271
264,351,,,0.624919048,0.623338095,0.642083333,0.5689,0.7513,0.48792
265,221,,,0.4568,0.521536111,0.5016,0.56451,0.652028571,0.636335556
266,247,,0.50196,0.572762222,0.51899,0.5389,0.612603571,0.69724,0.698371212
267,76,,,0.4944,0.4234,0.481866667,0.6942,,
268,103,,,,0.5878,,,,0.589216667
269,84,,,0.5068,0.604733333,0.7582,0.4351,0.638866667,
270,184,,,,0.637195238,0.54318,0.6649,0.647516667,0.72338
271,484,,,,0.617083333,0.577058333,0.656035714,0.60208,
272,46,,0.59165,0.499864444,0.542021429,0.2082,0.5475,0.688461111,
273,79,,0.441,0.52005,0.619633333,0.572,0.536253333,0.75247619,
274,329,,,0.523252381,0.615933333,0.599714286,0.691666667,,
275,100,,,0.490636111,0.59057619,0.57012,0.4256,,0.6514
276,500,,,0.575153333,0.523646667,0.4087,0.643183333,0.72275,0.709
277,141,,,0.637417857,0.567033333,0.637690476,0.701585714,0.6864,
278,127,,,,0.596733333,0.523992857,0.53774,0.5761,
279,283,,,0.60895,0.651739286,,,,
280,483,,,0.647283333,0.5103,0.566106667,0.534296429,0.565394444,
281,116,,,0.60205,0.636171429,0.635333333,0.5797,0.66427,0.743233333
282,195,,,0.498993333,0.512932143,0.566114286,0.611433333,0.692016667,0.681066667
283,472,,0.55082,0.533844444,0.602985714,0.627583333,,,
284,187,,,0.567147619,0.673846667,0.385873333,0.3708,,
285,356,,0.4381,0.60857,0.591758333,0.650169444,0.614193333,0.549491667,0.4497
286,464,,,0.59988,0.5887,0.604026667,0.5471,0.633266667,
287,200,,,0.53146,0.5356,0.632066667,0.616373333,0.724733333,
288,232,,,0.560233333,0.263333333,,,0.843166667,0.630537778
289,204,,,0.5562,0.447509524,0.47732,0.623166667,0.0289,
290,86,,,,0.503266667,0.47204,0.510283333,0.7751,0.726613333
291,404,,0.5654,0.623880556,0.6529,0.62115,0.6047,0.5364,0.6265
292,228,,,,0.577483333,0.56907,0.48015,0.418106667,0.3977
293,400,,,0.6631,0.6409,,,0.281,0.701033333
294,243,,,0.50844,0.59692381,0.716382143,0.7215,,
295,153,,,0.63845,0.690394444,0.448653333,0.730314286,0.72775,
296,202,,,,0.626853333,0.696690476,0.643083333,0.692426667,
297,217,,,,0.497266667,,0.720066667,0.508466667,0.5949
298,476,,,0.529866667,0.50515,0.414433333,,0.605366667,
299,185,,,,0.654783333,0.38233,0.428426667,0.6704,
300,166,,,,0.551,,,,0.57
301,482,,0.566,0.53959,0.5153,0.4877,,0.62492,
302,529,,,,,0.4678,0.65469,0.667210714,0.778146667
303,535,,0.6232,0.644573333,,,,0.304633333,
304,110,,,0.371984444,0.43638,0.5332,0.4966,0.6703,0.6492
305,410,,,0.677,0.60225,0.57715,0.567366667,0.687583333,0.710266667
306,551,,,0.47464,0.588466667,0.856,,,
307,458,,0.2111,,,,,,0.576152381
308,522,,,,0.0265,0.8017,0.678013333,,
309,395,,,0.514369444,0.576586111,0.409233333,0.501042857,0.68331,0.732433333
310,499,,0.6572,0.5359,,,0.630283333,,0.4806
311,17,,0.6616,0.529733333,0.420133333,0.537933333,,0.66929,
312,139,,,,0.659573333,0.607622222,0.633308889,0.571641667,0.557653571
313,390,,,0.540226667,0.529110714,0.602019048,0.56105,,
314,114,,,,,0.643153333,0.664433333,0.485873333,
315,172,,,0.62089,0.62375,0.59289,0.50651,0.5011,
316,506,,0.443466667,0.5948,0.5701,0.6881,0.756166667,,
317,213,,,0.506983333,0.63805,,,,
318,124,,,,,,0.6583,0.5814,0.608961905
319,40,,,,0.50175,0.66204,0.534153571,0.486716667,0.4329
320,446,,,,0.633263889,0.55954,0.689875,,
321,59,,,0.6622,0.6053,,0.7211,0.597,0.689441667
322,486,,,0.597566667,0.659007143,0.544933333,0.682582143,0.691,
323,363,,0.537733333,0.574663889,0.58589,0.32215,0.61645,0.719033333,0.71785
324,323,,0.5363,,0.63955,0.623566667,,,0.653566667
325,219,,,0.58502381,0.58287,0.674342857,0.60049,0.60714,
326,478,,,0.60426,0.67775,0.61284,0.7286,0.64585,0.71987619
327,44,,0.3045,0.538593333,0.5753,0.550533333,0.599766667,,
328,387,,,0.63834,0.494292857,0.450833333,0.57555,0.64904,
329,542,,,0.607266667,0.604028571,0.6591,,,0.741466667
330,270,,,0.689666667,0.5935,0.5646,0.724966667,0.69409,0.7641
