,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
0,113,,,,0.45935,0.307957143,0.305285714,0.3698,
1,456,,,0.363307143,0.343104762,0.35486,0.32485,0.463593333,0.572133333
2,169,,0.5242,0.286814286,0.26138,0.213816667,0.342566667,0.579866667,
3,538,,0.3612,0.35614,0.371083333,0.508983333,,,0.316191667
4,530,,,0.248686667,0.191457778,0.1483,0.0482,0.141466667,0.265442857
5,102,,,,0.46737,0.380833333,0.39439,0.440533333,0.457436111
6,40,,,,0.39482,0.44978,0.398225,0.310983333,0.192533333
7,481,,,0.243646667,0.4013,0.491,0.3099,0.2056,0.294186667
8,101,,,,0.491066667,0.2524,,,
9,234,,,,0.3317,0.391366667,0.2834,0.377116667,0.2998
10,149,,,,0.4878,0.319006667,0.292666667,0.3531,
11,281,,,,0.4634,,0.329,0.661966667,0.49425
12,66,,0.5068,0.284661111,0.231735714,0.231606667,0.533933333,,
13,318,,,0.474986667,0.329122222,0.495538889,0.648353333,,
14,540,,,,,0.26577,0.26805,0.0393,0.245313333
15,491,,,0.283286667,0.315006667,0.352433333,0.485483333,,0.407
16,297,,,,,0.4507,,0.7599,
17,241,,,0.36775,0.25994,0.4096,0.5452,0.490366667,
18,46,,0.426483333,0.436535556,0.400632143,0.2607,0.34658,0.552591667,
19,97,,,0.2677,,0.3644,0.2854,,0.41287
20,188,,,0.257616667,0.333508333,0.336921429,0.344728571,0.467883333,
21,499,,0.2694,0.2246,,,0.404616667,,0.2983
22,121,,,0.340286667,0.2346,0.270966667,0.3501,0.4629,0.329166667
23,146,,,,0.47563,0.338433333,0.36415,0.429932143,0.564442857
24,70,,,,0.414603571,0.402342857,0.4264,0.4932,0.235866667
25,25,,,0.385705556,0.271341667,0.397162222,0.373946667,0.288626667,0.482794444
26,240,,,0.639266667,0.452864286,0.367673333,0.214033333,0.5539,0.387739286
27,445,,,0.354883333,0.489219444,0.2356,,,
28,399,,0.320033333,,,0.3287,,0.314033333,0.376757143
29,300,,,0.2653,0.35074,,,,
30,118,,,0.2672,0.424813333,0.42762,,,0.475566667
31,86,,,,0.2076,0.256253333,0.275183333,0.638716667,0.56972
32,432,,,,0.487160714,0.464289286,0.459466667,0.44645,0.6001
33,305,,,0.269788889,0.0999,0.0989,0.2808,0.32896,0.4617
34,140,,,0.475533333,0.5677,0.48313,0.418833333,,0.41065
35,246,,,0.40999,0.2366,0.130566667,0.45207,0.28943,0.402366667
36,521,,,0.289033333,0.40629,0.174233333,,,
37,210,,,,0.295166667,0.366152381,0.53584,0.398919444,
38,219,,,0.36687619,0.41163,0.564257143,0.49198,0.494053333,
39,342,,,0.541366667,0.32992,0.37094,0.30371,0.463966667,
40,361,,,0.348566667,0.357335714,0.280033333,,,
41,310,,,0.488015556,0.482394444,0.561275556,0.367519048,0.458057143,0.585566667
42,516,,,0.135633333,0.293780952,0.342233333,0.330805556,0.466221429,
43,43,,0.4484,0.303471429,0.405846429,0.3498,0.407066667,0.4834,
44,239,,,,0.420725,0.449616667,0.4388,0.48105,0.5673
45,525,,,,0.450414286,0.447552778,0.267394444,0.4297,
46,0,,,,,,0.435617778,0.440982143,0.466405714
47,315,,0.0245,0.319,0.3378,0.151933333,0.4715,0.3862,0.6102
48,78,,,0.524666667,0.439357143,0.646283333,0.36637,0.5248,0.4037
49,338,,,0.24126,0.2783,0.32087,0.41277,0.34818,0.453563636
50,207,,,0.44562,0.206666667,0.345533333,,,0.4902
51,57,,0.365066667,0.432480952,0.344557143,0.215416667,0.399833333,,
52,394,,,,0.418606667,0.403588889,0.41241,0.306,0.523097802
53,375,,,0.3776,0.374,0.269693333,0.343521429,0.274483333,0.374060833
54,452,,,0.396626667,0.4743,0.42097,,,
55,531,,,0.46314,0.272803571,0.4157,0.453175,,
56,28,,0.4033,0.4198,0.247193333,0.1534,0.3936,0.40946,0.3388
57,104,,,0.414616667,0.348928889,0.346633333,0.380283333,0.0668,0.565753333
58,235,,,0.389532143,0.383125,0.41237,0.405342857,0.478966667,0.46572
59,536,,,,0.469010714,0.350952381,0.569538095,0.40292381,
60,233,,0.449886667,0.539366667,0.53537,0.2339,0.104533333,0.542016667,
61,558,,,0.418116667,0.404806667,0.33935,0.264316667,0.268773333,0.467692857
62,261,,,0.2643,0.285564286,0.330126667,0.497578571,,
63,160,,,,,0.344966667,0.278966667,0.54635,0.551535833
64,510,,,0.3822,0.39385,0.34187619,0.44278,0.427328571,0.537067857
65,355,,,,,,,,
66,520,,0.459233333,0.505666667,0.36683,0.520333333,0.18425,0.5836,0.5856
67,11,,,,0.393416667,0.275352381,0.0742,,
68,296,,,,,,0.244833333,,0.436416667
69,63,,,,0.42832,0.35584,0.3942,0.340016667,0.330708889
70,541,,,,0.317224444,0.255736111,0.345889286,0.37194,
71,58,,0.5396,0.354366667,0.469946667,,,,
72,269,,0.31,0.219557143,0.369283333,,,,
73,351,,,0.373304762,0.417809524,0.437416667,0.317566667,0.52285,0.09481
74,340,,,0.351666667,0.470980556,0.319385714,0.2196,,
75,471,,,0.406746429,0.347304444,0.256933333,0.252693333,0.36075,0.41115
76,247,,0.45072,0.388553333,0.24644,0.38868,0.427053571,0.58202,0.514162121
77,283,,,0.373653571,0.468935714,,,,
78,119,,,,,0.300133333,0.2874,,
79,390,,,0.36656,0.316921429,0.45022381,0.296516667,,
80,415,,,0.2638,0.431626667,0.462633333,0.391266667,0.353133333,0.43494
81,548,,,0.377133333,0.375986111,0.307380556,0.26032,0.3493,0.419226667
82,341,,,,0.328195238,0.44412,0.498638889,,
83,381,,,,,,,0.358466667,
84,274,,0.24115,0.333166667,0.548816667,0.5803,,,0.500857143
85,144,,0.149,0.513333333,0.2953,0.0559,,,0.6221
86,231,,,0.513846429,0.43818,0.380025,0.491453333,,
87,92,,,0.3786,0.36295,0.371726667,,,
88,295,,,,0.3554,0.212766667,0.4758,0.36278,
89,294,,,,0.371628571,0.441586667,0.2777,0.388052381,0.44018
90,191,,,0.454933333,0.32827,0.388352381,0.407866667,,
91,451,,,,0.356166667,0.313161111,0.252747619,0.5237,
92,198,,,,0.34106,0.551393333,0.360990476,0.7174,
93,284,,,0.411,0.233766667,0.268006667,0.22815,0.234789286,0.307371429
94,549,,0.092,0.217230556,0.20068,0.2712,0.1752,,0.6335
95,320,,,0.384633333,0.405309524,0.576282143,0.491566667,,
96,7,,,,,,,0.231916667,0.390580952
97,74,,,,,0.5336,0.568966667,,
98,397,,,0.4115,0.342875,0.39502,0.293633333,0.1686,
99,228,,,,0.509333333,0.33614,0.224,0.261233333,0.2232
100,8,,,,,,,0.327266667,0.358706667
101,557,,,0.3531,0.38115,0.33164,0.249446429,0.3148,
102,416,,,0.3497,,,0.261966667,0.46222,
103,344,,,0.433633333,0.392933333,0.341713333,0.35453,0.5906,
104,115,,,0.258133333,0.273785714,0.168416667,0.358033333,0.498395238,0.4785
105,17,,0.483,0.113066667,0.2369,0.262566667,,0.42544,
106,165,,,0.3787,0.435173333,0.290466667,0.4799,0.3726,0.571033333
107,98,,,,0.265171429,0.36203,0.24307619,0.273714286,0.33694
108,332,,0.226671429,0.2685,0.482586111,,,,
109,440,,0.4321,,,,,,
110,429,,,0.2355,0.25153,0.3703,0.264196429,0.214433333,0.510047222
111,100,,,0.305105556,0.439071429,0.28376,0.372,,0.462666667
112,190,,0.656033333,0.293086667,0.403735556,0.419,0.500790476,0.452585714,
113,448,,,0.28362,0.524626667,0.4822,0.40259,0.167,0.320786667
114,383,,,,,0.4172,,0.333375,
115,468,,,0.311573333,0.451792857,0.400163889,0.39944,0.28102,0.319
116,517,,,0.388933333,0.26043,0.34474,0.42298,0.492433333,
117,304,,0.303980952,0.3643,0.248904444,0.228433333,,,
118,224,,,0.315928571,0.381416667,0.43368,0.537306667,0.54989,
119,67,,,,0.271066667,,,,
120,109,,,0.09,0.323366667,0.491933333,0.537066667,,
121,179,,,,0.1645,,,0.456733333,0.4884
122,197,,,0.1391,0.389209524,0.240383333,0.4751,0.352933333,0.6054
123,53,,,,,,,,0.552361905
124,348,,0.35557,0.440532143,0.285196429,0.395416667,,,0.5079
125,444,,,0.387153333,0.402504762,0.430316667,0.448166667,0.60949,
126,208,,,,0.233266667,0.407733333,0.3151,0.2937,
127,309,,,,,,,0.173133333,0.53
128,401,,0.155033333,0.229442857,0.17818,0.411266667,,0.0963,
