,Person,<=10_10-20,<=10_20-30,<=10_30-40,<=10_40-50,<=10_50-60,<=10_60-70,10-20_20-30,10-20_30-40,10-20_40-50,10-20_50-60,10-20_60-70,20-30_30-40,20-30_40-50,20-30_50-60,20-30_60-70,30-40_40-50,30-40_50-60,30-40_60-70,40-50_50-60,40-50_60-70,50-60_60-70,<=10_70+,10-20_70+,20-30_70+,30-40_70+,40-50_70+,50-60_70+,60-70_70+
0,470,,,,,,,,,,,,0.42468000000000006,0.49047999999999997,0.4312,0.3214,0.36262000000000005,0.35987,0.3181900000000001,0.44190000000000007,0.42264,0.355575,,,0.31122500000000003,0.27588,0.362725,0.31220000000000003,0.47053749999999994
1,26,,,,,,,0.39817,0.2788625,0.21092499999999997,0.2679,0.28122499999999995,0.33470625,0.239315,0.25372000000000006,0.19084,0.281525,0.28930625,0.22263125,0.32289999999999996,0.25361875,0.3615375,,0.22403333333333333,0.217835,0.23892916666666666,0.21944583333333334,0.3502166666666667,0.34290833333333337
2,323,,,,,,,,0.3198625,0.27553333333333335,0.2982,,,,,,0.4108166666666666,0.3394,,0.2251666666666667,,,,0.23127499999999998,,0.300775,0.27975833333333333,0.38385,
3,430,,,,,,,,,,,,,,,,,,,,,0.40212000000000003,,,,,,0.4499375,0.363865
4,389,,,,,,,,,,,,0.29779999999999995,0.30791666666666667,0.2952625,0.261925,0.2906875,0.276765625,0.2199857142857143,0.40531458333333337,0.32434523809523813,0.3665928571428571,,,,,,,
5,479,,,,,,,,,,,,,,,,0.4315592592592593,0.38244666666666666,0.2920888888888889,0.36520444444444444,0.2531,0.3179133333333333,,,,0.2864666666666667,0.25297555555555556,0.311736,0.34282666666666667
6,228,,,,,,,,,,,,,,,,0.40076,0.23754500000000003,0.21900416666666667,0.264344,0.2427833333333333,0.2637933333333333,,,,0.19327499999999997,0.246,0.20947999999999997,0.25914166666666666
7,66,0.0953391304347826,0.0953391304347826,0.09612727272727271,0.10472142857142859,0.117075,,0.3440888888888889,0.20892500000000003,0.15378,0.2193125,,0.22769583333333335,0.17437666666666668,0.2029916666666667,,0.25030374999999994,0.275534375,,0.32552000000000003,,,,,,,,,
8,329,,,,,,,,,,,,0.34755918367346944,0.34307755102040816,0.3413285714285714,,0.4298612244897959,0.44757857142857144,,0.47011785714285714,,,,,,,,,
9,390,,,,,,,0.40985000000000005,0.36645000000000005,0.41522857142857145,0.31620000000000004,,0.32250625,0.3763857142857143,0.2954291666666667,,0.3645982142857143,0.322784375,,0.40339642857142854,,,,,,,,,
